value_id,product_super_attribute_id,store_id,use_default,"value"
53688,19109,0,0,"Tour de hanches à plat Français"
53689,19108,0,0,"Taille de robe/jupe Ouest-européenne"
53690,18783,0,0,"Taille ISO"
53691,19225,0,0,"Taille ISO"
53692,53117,0,0,"Tour de hanches à plat Français"
53693,18788,0,0,"Taille ISO"
53694,53213,0,0,"Taille de robe/jupe Ouest-européenne"
53695,1,0,0,"Taille du ballotin"
53696,3,0,0,"Taille du ballotin"
53697,2,0,0,"Taille du ballotin"
53698,4,0,0,"Taille du ballotin"
53699,19227,0,0,"Taille ISO"
53700,61,0,0,"Taille ISO"
53701,53556,0,0,"Taille Française haut"
53702,19626,0,0,"Taille ISO"
53703,18797,0,0,"Taille ISO"
53704,19244,0,0,"Taille ISO"
53705,18844,0,0,"Taille ISO"
53706,18798,0,0,"Taille ISO"
53707,28,0,0,"Taille ISO"
53708,27,0,0,"Taille ISO"
53709,26,0,0,"Taille ISO"
53710,18856,0,0,"Taille ISO"
53711,18855,0,0,"Taille ISO"
53712,18854,0,0,"Taille ISO"
53713,18853,0,0,"Taille ISO"
53714,18803,0,0,"Taille ISO"
53715,18802,0,0,"Taille ISO"
53716,18822,0,0,"Taille ISO"
53717,18821,0,0,"Taille ISO"
53718,18790,0,0,"Taille ISO"
53719,18789,0,0,"Taille ISO"
53720,19288,0,0,"Taille ISO"
53721,19243,0,0,"Taille ISO"
53722,18836,0,0,"Taille ISO"
53723,18799,0,0,"Taille ISO"
53724,20,0,0,"Taille ISO"
53725,19274,0,0,"Taille ISO"
53726,19247,0,0,"Taille ISO"
53727,18825,0,0,"Taille ISO"
53728,18823,0,0,"Taille ISO"
53729,18800,0,0,"Taille ISO"
53730,11,0,0,"Taille ISO"
53731,18848,0,0,"Taille ISO"
53732,18847,0,0,"Taille ISO"
53733,18786,0,0,"Taille ISO"
53734,18785,0,0,"Taille ISO"
53735,30,0,0,"Taille ISO"
53736,29,0,0,"Taille ISO"
53737,18852,0,0,"Taille ISO"
53738,18851,0,0,"Taille ISO"
53739,18850,0,0,"Taille ISO"
53740,18849,0,0,"Taille ISO"
53741,19264,0,0,"Taille ISO"
53742,19249,0,0,"Taille ISO"
53743,18814,0,0,"Taille ISO"
53744,18801,0,0,"Taille ISO"
53745,6,0,0,"Taille ISO"
53746,5,0,0,"Taille ISO"
53747,18805,0,0,"Taille ISO"
53748,18804,0,0,"Taille ISO"
53749,18809,0,0,"Taille ISO"
53750,18808,0,0,"Taille ISO"
53751,18807,0,0,"Taille ISO"
53752,19312,0,0,"Taille ISO"
53753,19310,0,0,"Taille ISO"
53754,19240,0,0,"Taille ISO"
53755,18858,0,0,"Taille ISO"
53756,18857,0,0,"Taille ISO"
53757,18795,0,0,"Taille ISO"
53758,18813,0,0,"Taille ISO"
53759,18812,0,0,"Taille ISO"
53760,18811,0,0,"Taille ISO"
53761,18810,0,0,"Taille ISO"
53762,18787,0,0,"Taille ISO"
53763,19267,0,0,"Taille ISO"
53764,18784,0,0,"Taille ISO"
53765,9,0,0,"Taille ISO"
53766,8,0,0,"Taille ISO"
53767,7,0,0,"Taille ISO"
53768,82,0,0,"Taille ISO"
53769,81,0,0,"Taille ISO"
53770,87,0,0,"Taille ISO"
53771,53208,0,0,"Taille ISO"
53772,53170,0,0,"Taille ISO"
53773,53172,0,0,"Taille ISO"
53774,85,0,0,"Taille ISO"
53775,79,0,0,"Taille ISO"
53776,80,0,0,"Taille ISO"
